Ciudad,Nombre,Telefono,Direccion,Calificacion,Num_Resenas,Enlace_Actual,Link_Google_Maps
Guadalajara,Mundo Scents,33 3107 4303,,"4,4",243,,https://www.google.com/maps/place/Mundo+Scents/data=!4m7!3m6!1s0x8428b1af0649d7bb:0x4b0d24e6dac2f58d!8m2!3d20.6751143!4d-103.3372738!16s%2Fg%2F11hk19b5r0!19sChIJu9dJBq-xKIQRjfXC2uYkDUs
Guadalajara,Perfumería Aquí es,33 3618 7136,,"4,3",36,,https://www.google.com/maps/place/Perfumer%C3%ADa+Aqu%C3%AD+es/data=!4m7!3m6!1s0x8428b18cac9567cb:0xd9ab6e4ac0a89a3f!8m2!3d20.6729363!4d-103.3355293!16s%2Fg%2F1q5btswbf!19sChIJy2eVrIyxKIQRP5qowEpuq9k
Guadalajara,Perfumes en Linea Amparito,33 3617 6731,,"4,1",104,,https://www.google.com/maps/place/Perfumes+en+Linea+Amparito/data=!4m7!3m6!1s0x8428b1f3431c5d49:0x15a2656aa33e7259!8m2!3d20.6733559!4d-103.3367441!16s%2Fg%2F1hm6kp1ns!19sChIJSV0cQ_OxKIQRWXI-o2plohU
Guadalajara,Nova Perfumería,33 1294 9384,,"4,6",89,,https://www.google.com/maps/place/Nova+Perfumer%C3%ADa/data=!4m7!3m6!1s0x8428ade83b982c43:0x2bb9460659e89b5f!8m2!3d20.6496413!4d-103.381066!16s%2Fg%2F11bzx30jj5!19sChIJQyyYO-itKIQRX5voWQZGuSs
Guadalajara,Perfumes europeos,55 5359 7550,,"4,5",25,,https://www.google.com/maps/place/Perfumes+europeos/data=!4m7!3m6!1s0x8428b1bb9cd31db7:0x850058a3517c8461!8m2!3d20.6751394!4d-103.3445654!16s%2Fg%2F11h0mtstls!19sChIJtx3TnLuxKIQRYYR8UaNYAIU
Guadalajara,Fragancia Fina Lulú,33 3618 8149,,"4,9",26,,https://www.google.com/maps/place/Fragancia+Fina+Lul%C3%BA/data=!4m7!3m6!1s0x8428b1a54ab3fa4d:0xebb0084ba456f1e1!8m2!3d20.6750293!4d-103.3385448!16s%2Fg%2F11gvy233nj!19sChIJTfqzSqWxKIQR4fFWpEsIsOs
Guadalajara,Les Sens Esteban ala torre,33 1026 3502,,"4,9",103,,https://www.google.com/maps/place/Les+Sens+Esteban+ala+torre/data=!4m7!3m6!1s0x8428b160508408ed:0xbcd659274f22c4cb!8m2!3d20.6724916!4d-103.2916532!16s%2Fg%2F1ptxzqf7x!19sChIJ7QiEUGCxKIQRy8QiTydZ1rw
Guadalajara,Richard Fragances,33 1088 1373,,"4,8",24,,https://www.google.com/maps/place/Richard+Fragances/data=!4m7!3m6!1s0x8428b155c93b3ae5:0x20e656c9a35bd4f5!8m2!3d20.6725725!4d-103.3323902!16s%2Fg%2F11w3b8xbfg!19sChIJ5To7yVWxKIQR9dRbo8lW5iA
Guadalajara,Yo&yu fragance,33 1061 8880,,"4,8",126,,https://www.google.com/maps/place/Yo%26yu+fragance/data=!4m7!3m6!1s0x8428b3ea3bb6e1e5:0x9ecddb76d610cf2c!8m2!3d20.6518675!4d-103.2875146!16s%2Fg%2F11dx8n0gdk!19sChIJ5eG2O-qzKIQRLM8Q1nbbzZ4
Guadalajara,LM Distribuidora,33 3308 0198,,"4,2",34,,https://www.google.com/maps/place/LM+Distribuidora/data=!4m7!3m6!1s0x8428b1767857fa29:0x541e30f421430c72!8m2!3d20.6731582!4d-103.3352066!16s%2Fg%2F11l3w_ff47!19sChIJKfpXeHaxKIQRcgxDIfQwHlQ
Guadalajara,Lily Belleza,33 3617 8257,,"4,6",25,,https://www.google.com/maps/place/Lily+Belleza/data=!4m7!3m6!1s0x8428b1f3b59631f1:0x75ed873dd208b387!8m2!3d20.6743717!4d-103.340505!16s%2Fg%2F1tj1sdnc!19sChIJ8TGWtfOxKIQRh7MI0j2H7XU
Guadalajara,Cosméticos Distribuidora de Occidente,33 1477 3228,,"4,6",32,,https://www.google.com/maps/place/Cosm%C3%A9ticos+Distribuidora+de+Occidente/data=!4m7!3m6!1s0x8428b112d096ac53:0x31396c258148dc52!8m2!3d20.6935288!4d-103.2986372!16s%2Fg%2F1ptzg41l8!19sChIJU6yW0BKxKIQRUtxIgSVsOTE
Guadalajara,La Cosmetiquería Guadalajara,33 4070 2151,,"4,6",93,,https://www.google.com/maps/place/La+Cosmetiquer%C3%ADa+Guadalajara/data=!4m7!3m6!1s0x8428afc77be20341:0x9fdb5e7224b4fc84!8m2!3d20.6634627!4d-103.4009559!16s%2Fg%2F11j0txgnc3!19sChIJQQPie8evKIQRhPy0JHJe258
Guadalajara,Beauty Supply,33 3647 6500,,"4,2",63,,https://www.google.com/maps/place/Beauty+Supply/data=!4m7!3m6!1s0x8428ae65fa6f3853:0xb40d351d3d46594c!8m2!3d20.67845!4d-103.3941784!16s%2Fg%2F1pty1j448!19sChIJUzhv-mWuKIQRTFlGPR01DbQ
Guadalajara,Cosmetomedica,33 3615 5555,,"4,3",313,,https://www.google.com/maps/place/Cosmetomedica/data=!4m7!3m6!1s0x8428ae11a42b9e57:0xffb04826a45ea66d!8m2!3d20.6780036!4d-103.3741397!16s%2Fg%2F1vknpp_3!19sChIJV54rpBGuKIQRbaZepCZIsP8
Monterrey,PERFUME CLUB,81 8343 2319,,"4,5",288,,https://www.google.com/maps/place/PERFUME+CLUB/data=!4m7!3m6!1s0x8662be25d7a648cd:0xcd7c97194a35bb7a!8m2!3d25.6685974!4d-100.3183702!16s%2Fg%2F1ts1snl0!19sChIJzUim1yW-YoYRers1ShmXfM0
Monterrey,PerfumesAmericanos,81 2036 3799,,"4,0",265,,https://www.google.com/maps/place/PerfumesAmericanos/data=!4m7!3m6!1s0x86629578aaa644eb:0x952f928ece364ee!8m2!3d25.6817102!4d-100.3047949!16s%2Fg%2F11cm04c5nn!19sChIJ60SmqniVYoYR7mTj7Cj5Ugk
Monterrey,Oud Miraj | Perfumería Árabe,81 3418 1345,,"5,0",40,,https://www.google.com/maps/place/Oud+Miraj+%7C+Perfumer%C3%ADa+%C3%81rabe/data=!4m7!3m6!1s0x86629719fa18fb6f:0xa62dbcde577059c7!8m2!3d25.7031825!4d-100.3647063!16s%2Fg%2F11ywljkl66!19sChIJb_sY-hmXYoYRx1lwV968LaY
Monterrey,Sabores Colores y Perfumes,81 8342 6181,,"4,7",295,,https://www.google.com/maps/place/Sabores+Colores+y+Perfumes/data=!4m7!3m6!1s0x8662958c9222731b:0xf48e939bacc887a1!8m2!3d25.6728043!4d-100.3267346!16s%2Fg%2F1th1d48c!19sChIJG3MikoyVYoYRoYfIrJuTjvQ
